Cause	Outcome	Cause name	Outcome name	Number of mentions	Phi correlation coeff	Dependence	Date of diagnosis	GPT4	score
K70.3	K76.6	alcoholic cirrhosis	portal hypertension	7	0.414	1	0.6897374701670644	1	0.820747494033413
K70.3	K72.1	alcoholic cirrhosis	end-stage liver disease	4	0.043	1	1.0	1	0.8086
K70.3	D69.6	alcoholic cirrhosis	thrombocytopenia	2	0.076	1	0.7115384615384616	1	0.7575076923076924
K70.3	E46	alcoholic cirrhosis	malnutrition	1	0.052	1	0.7714285714285715	1	0.5659058823529413
K70.3	K76.9	alcoholic cirrhosis	liver disease	1	0.098	1	0.6344827586206897	1	0.5480666666666667
K70.3	I85.01	alcoholic cirrhosis	esophageal varices	6	NA	0	0	1	0.4
K70.3	K76.82	alcoholic cirrhosis	hepatic encephalopathy	2	NA	0	0	1	0.4
K70.3	E83.11	alcoholic cirrhosis	hemochromatosis	2	NA	0	0	1	0.4
K70.3	E44	alcoholic cirrhosis	malnutrition	1	0.0	0	1.0	1	0.4
K70.3	I86.4	alcoholic cirrhosis	gastric varices	1	0.158	1	0.7123287671232876	0	0.3863777777777778
K70.3	E40	alcoholic cirrhosis	malnutrition	1	NA	0	0	1	0.2
K70.3	E41	alcoholic cirrhosis	malnutrition	1	0.0	0	0	1	0.2
K70.3	E42	alcoholic cirrhosis	malnutrition	1	NA	0	0	1	0.2
K70.3	E43	alcoholic cirrhosis	malnutrition	1	0.0	0	0	1	0.2
K70.3	E45	alcoholic cirrhosis	malnutrition	1	0.0	0	0	1	0.2
K70.3	I83.90	alcoholic cirrhosis	varices	1	NA	0	0	1	0.2
K70.3	D89.1	alcoholic cirrhosis	cryoglobulinemia	1	0.0	0	0	1	0.2
K76.6	I86.4	portal hypertension	gastric varices	7	0.294	1	0.7759562841530054	1	0.8139912568306011
K76.6	D69.6	portal hypertension	thrombocytopenia	5	0.11	1	0.6654135338345865	1	0.7550827067669172
K76.6	K92.0	portal hypertension	hematemesis	3	0.099	1	0.6157407407407407	1	0.7429481481481481
K76.6	D64.9	portal hypertension	anemia	2	0.064	1	0.6273684210526316	1	0.738620320855615
K76.6	I86.1	portal hypertension	varicocele	2	0.008	1	0.5	1	0.7016
K76.6	D73.1	portal hypertension	hypersplenism	30	0.113	1	0.9310344827586207	0	0.6106
K76.6	I87.8	portal hypertension	phlebosclerosis	1	0.005	1	0.75	1	0.5518000000000001
K76.6	D73.5	portal hypertension	splenic infarction	1	0.026	1	1.0	0	0.46140000000000003
K76.6	I85.01	portal hypertension	esophageal varices	27	NA	0	0	1	0.40040000000000003
K76.6	E72.20	portal hypertension	hyperammonemia	1	NA	0	0	1	0.2
K76.6	D61.81	portal hypertension	pancytopenia	1	NA	0	0	1	0.2
K76.6	I72.9	portal hypertension	vascular disease	3	0.0	0	0	0	0.2
K76.6	I27.20	portal hypertension	pulmonary hypertension	1	NA	0	0	0	0.0
F50.0	E43	anorexia nervosa	malnutrition	10	0.091	1	1.0	1	0.8182
F50.0	E46	anorexia nervosa	malnutrition	11	0.035	1	0.75	1	0.7570000000000001
F50.0	E40	anorexia nervosa	malnutrition	10	NA	0	0	1	0.40040000000000003
F50.0	E41	anorexia nervosa	malnutrition	10	0.0	0	0	1	0.40040000000000003
F50.0	E42	anorexia nervosa	malnutrition	10	NA	0	0	1	0.40040000000000003
F50.0	E44	anorexia nervosa	malnutrition	10	0.0	0	0	1	0.40040000000000003
F50.0	E45	anorexia nervosa	malnutrition	10	0.0	0	0	1	0.40040000000000003
F50.0	D70	anorexia nervosa	neutropenia	1	0.007	1	0.7142857142857143	0	0.3508
F50.0	K21.9	anorexia nervosa	gastroesophageal reflux	1	0.007	1	0.5789473684210527	0	0.3258
F50.0	E83.2	anorexia nervosa	acrodermatitis enteropathica	2	0.0	0	0	0	0.2
F50.0	M81.0	anorexia nervosa	osteoporosis	1	0.0	0	0	0	0.0
F50.0	G72.9	anorexia nervosa	myopathy	1	0.0	0	0	0	0.0
F50.0	E51	anorexia nervosa	thiamine deficiency	1	0.0	0	0	0	0.0
E43	D64.9	malnutrition	anemia	2	0.005	1	0.6666666666666666	1	0.7349333333333334
E43	H54	malnutrition	blindness	1	0.009	1	1.0	1	0.6020000000000001
E43	L89	malnutrition	pressure sore	3	0.026	1	0.875	0	0.5815777777777777
E43	D50	malnutrition	iron-deficiency anemia	1	0.009	1	0.4444444444444444	1	0.4998
E43	N18.9	malnutrition	chronic renal disease	1	0.005	0	1.0	1	0.4016
E43	E50	malnutrition	vitamin a deficiency	2	0.0	0	1.0	0	0.4
E43	E53.8	malnutrition	folic acid deficiency	2	0.0	0	0	1	0.4
E43	D61.81	malnutrition	pancytopenia	2	NA	0	0	1	0.4
E43	E16.2	malnutrition	hypoglycemia	1	0.0	0	0.5	1	0.3044528925619835
E43	J98.4	malnutrition	lung disease	1	0.0	0	0.5	1	0.3043751479289941
E43	I51.9	malnutrition	heart disease	1	0.0	0	0	1	0.2
E43	R41.3	malnutrition	amnesia	1	0.0	0	0.0	1	0.2
E43	K05.10	malnutrition	gingivitis	1	NA	0	0	1	0.2
E43	K76.9	malnutrition	liver disease	1	0.0	0	0	1	0.2
E43	N62	malnutrition	gynecomastia	2	0.0	0	0	0	0.2
E43	E51.2	malnutrition	wernicke 's encephalopathy	2	0.0	0	0	0	0.2
E43	E55.0	malnutrition	rickets	1	0.0	0	0	1	0.2
E43	E88.81	malnutrition	metabolic syndrome	1	NA	0	0	1	0.2
E43	G62.9	malnutrition	neuropathy	1	0.0	0	0.5	0	0.1998
E43	A18	malnutrition	tuberculosis	1	0.0	0	0	0	0.06686666666666667
E43	E15	malnutrition	hypoglycemic coma	1	0.0	0	0	0	0.0
E43	H46.1	malnutrition	retrobulbar neuritis	1	NA	0	0	0	0.0
E43	E51	malnutrition	thiamine deficiency	1	0.0	0	0	0	0.0
E43	M89.9	malnutrition	bone disease	1	0.0	0	0	0	0.0
E43	A69.22	malnutrition	polyneuropathy	1	NA	0	0	0	0.0
G93.2	H47.1	benign intracranial hypertension	papilledema	17	0.199	1	0.88	1	0.8158000000000001
G93.2	H54	benign intracranial hypertension	blindness	4	0.005	1	1.0	1	0.8009999999999999
G93.2	G62.9	benign intracranial hypertension	neuropathy	1	0.004	0	0.0	1	0.26613236151603503
G93.2	G83.0	benign intracranial hypertension	diplegia	1	0.0	0	0	0	0.0
G93.2	H53.13	benign intracranial hypertension	sudden visual loss	1	NA	0	0	0	0.0
G93.2	H50.0	benign intracranial hypertension	esotropia	1	0.0	0	0	0	0.0
G93.2	H93.A	benign intracranial hypertension	pulsatile tinnitus	1	NA	0	0	0	0.0
G93.2	G50.0	benign intracranial hypertension	trigeminal neuralgia	1	-0.001	0	0	0	0.0
H47.1	H54	papilledema	blindness	2	0.009	1	0.8	1	0.7618
I06.1	Q23.3	aortic regurgitation	mitral regurgitation	4	0.077	1	1.0	1	0.8153999999999999
I06.1	I50.9	aortic regurgitation	congestive heart failure	6	0.005	0	1.0	1	0.6012
I06.1	I20	aortic regurgitation	angina pectoris	1	0.006	1	0.875	1	0.5778887198986059
I06.1	I20.9	aortic regurgitation	anginal syndrome	1	0.007	1	0.8571428571428571	1	0.574504584040747
I06.1	N04	aortic regurgitation	nephrotic syndrome	1	0.0	0	1.0	0	0.2
I06.1	Q20.4	aortic regurgitation	single ventricle	1	NA	0	0	0	0.0
Q23.3	J81	mitral regurgitation	pulmonary edema	4	0.012	1	1.0	0	0.6026
Q23.3	I42	mitral regurgitation	cardiomyopathy	1	0.007	1	1.0	1	0.6014
Q23.3	I50.9	mitral regurgitation	congestive heart failure	3	0.006	0	1.0	1	0.6014
Q23.3	I27.20	mitral regurgitation	pulmonary hypertension	1	NA	0	0	1	0.2
M31.3	N01	wegener 's granulomatosis	rapidly progressive glomerulonephritis	2	0.075	1	1.0	1	0.815
M31.3	N19	wegener 's granulomatosis	renal failure	4	0.037	1	0.5833333333333334	1	0.7251391304347827
M31.3	J96.0	wegener 's granulomatosis	acute respiratory failure	2	0.01	1	0.5	1	0.7030000000000001
M31.3	N08	wegener 's granulomatosis	kidney disease	1	0.147	1	0.9516129032258065	1	0.6320000000000001
M31.3	H15.0	wegener 's granulomatosis	scleritis	3	0.032	1	1.0	0	0.6079368421052631
M31.3	E23.2	wegener 's granulomatosis	diabetes insipidus	2	0.007	1	1.0	0	0.6016
M31.3	K85.9	wegener 's granulomatosis	pancreatitis	1	0.006	1	1.0	1	0.6012
M31.3	G62.9	wegener 's granulomatosis	neuropathy	1	0.016	1	0.9	1	0.584369505783386
M31.3	H66.9	wegener 's granulomatosis	otitis media	1	0.009	1	0.75	1	0.5531809523809523
M31.3	H16	wegener 's granulomatosis	keratitis	1	0.008	1	0.75	1	0.5525124183006536
M31.3	N18.6	wegener 's granulomatosis	end-stage renal disease	9	NA	0	0	1	0.4
M31.3	J47	wegener 's granulomatosis	bronchiectasis	1	0.023	1	0.75	0	0.36140000000000005
M31.3	I21	wegener 's granulomatosis	myocardial infarction	1	0.003	0	0.75	1	0.3585757575757576
M31.3	I72	wegener 's granulomatosis	aneurysms	1	0.005	1	0.5	0	0.3152857142857143
M31.3	G51.0	wegener 's granulomatosis	facial paralysis	1	0.01	1	0.375	0	0.2998
M31.3	N95.0	wegener 's granulomatosis	postmenopausal bleeding	1	-0.002	0	0.3333333333333333	1	0.2894888888888889
M31.3	G93.2	wegener 's granulomatosis	benign intracranial hypertension	2	0.0	0	0	0	0.2
M31.3	I44.3	wegener 's granulomatosis	atrioventricular block	1	0.0	0	0	1	0.2
M31.3	G03.1	wegener 's granulomatosis	chronic meningitis	1	0.0	0	0	1	0.2
M31.3	J93.1	wegener 's granulomatosis	pneumothorax	2	0.0	0	0	0	0.2
M31.3	E23.0	wegener 's granulomatosis	hypopituitarism	1	-0.001	0	0	1	0.2
N01	N19	rapidly progressive glomerulonephritis	renal failure	5	0.038	1	0.5714285714285714	1	0.7232000000000001
N01	N18.6	rapidly progressive glomerulonephritis	end-stage renal disease	1	NA	0	0	1	0.2
I46	F41.9	cardiac arrest	anxiety disorder	1	0.012	1	0.5680473372781065	1	0.5200857142857144
I46	G93.9	cardiac arrest	brain diseases	5	0.004	0	0.75	0	0.3592983606557377
I46	P91.6	cardiac arrest	hypoxic-ischemic encephalopathy	3	NA	0	0	0	0.2
I46	G93.82	cardiac arrest	brain death	1	NA	0	0	1	0.2
E11	E16.2	diabetes	hypoglycemia	2	0.151	1	0.9224219489120151	1	0.814684389782403
E11	N18.9	diabetes	chronic renal disease	22	0.125	1	0.902432205759016	1	0.8054864411518032
E11	G30	diabetes	ad8	2	0.023	1	0.9351669941060904	1	0.7916333988212181
E11	N08	diabetes	kidney disease	56	0.093	1	0.864406779661017	1	0.7914813559322034
E11	I51.5	diabetes	myocardial disease	2	0.006	1	0.9375	1	0.7887
E11	I10	diabetes	hypertension	7	0.29	1	0.6496453423874676	1	0.7879290684774936
E11	G62.9	diabetes	neuropathy	69	0.065	1	0.8600201409869084	1	0.7850040281973818
E11	M14.6	diabetes	charcot 's joint	3	0.054	1	0.8540145985401459	1	0.7816029197080292
E11	D64.9	diabetes	anemia	2	0.101	1	0.7997620261771206	1	0.7801524052354241
E11	I70	diabetes	atheroma	16	0.066	1	0.8250701590271281	1	0.7782140318054256
E11	I67.9	diabetes	cerebrovascular disorders	7	0.053	1	0.8333333333333334	1	0.7772666666666668
E11	I51.9	diabetes	heart disease	4	0.034	1	0.8494208494208494	1	0.77668416988417
E11	E78.5	diabetes	hyperlipemia	7	0.113	1	0.765717674970344	1	0.7757435349940689
E11	H54	diabetes	blindness	46	0.033	1	0.8406040268456376	1	0.7747208053691275
E11	K76.9	diabetes	liver disease	2	0.036	1	0.8221757322175732	1	0.7716351464435147
E11	H49.2	diabetes	sixth nerve palsy	2	0.006	1	0.8333333333333334	1	0.7678666666666667
E11	N19	diabetes	renal failure	49	0.057	1	0.7617834394904459	1	0.7637566878980893
E11	E16.1	diabetes	hyperinsulinism	26	0.013	1	0.8048780487804879	1	0.7635756097560975
E11	E88.9	diabetes	metabolic disease	7	0.012	1	0.8	1	0.7624
E11	N28.9	diabetes	renal insufficiency	4	0.028	1	0.7833333333333333	1	0.7622666666666666
E11	H26	diabetes	cataract	7	0.08	1	0.7259704251386322	1	0.7611940850277266
E11	I42	diabetes	cardiomyopathy	14	0.035	1	0.7313915857605178	1	0.7532783171521036
E11	R73.9	diabetes	hyperglycemia	62	0.061	1	0.6685185185185185	1	0.7459037037037037
E11	H44	diabetes	eye disease	5	0.008	1	0.6911764705882353	1	0.740175
E11	R80	diabetes	proteinuria	2	0.025	1	0.6574585635359116	1	0.7367333333333335
E11	R73	diabetes	elevated blood glucose levels	3	0.065	1	0.6148571428571429	1	0.7361333333333333
E11	M89.9	diabetes	bone disease	2	0.005	1	0.56	1	0.7170000000000001
E11	H35.9	diabetes	retinal diseases	3	0.015	1	0.5094339622641509	1	0.7080823529411764
E11	I72.9	diabetes	vascular disease	11	0.005	1	0.4444444444444444	1	0.6961368421052632
E11	N17.9	diabetes	acute kidney injury	1	0.139	1	0.9150974025974026	1	0.6203558678186036
E11	E16.9	diabetes	islet cell hyperplasia	1	0.01	1	1.0	1	0.6022000000000001
E11	E87.5	diabetes	hyperkalemia	1	0.085	1	0.9238613188307274	1	0.6018000000000001
E11	E87	diabetes	metabolic disorders	8	0.109	1	0.8968784838350056	0	0.6012
E11	I25.6	diabetes	silent myocardial ischemia	1	0.005	1	1.0	1	0.601
E11	M81.0	diabetes	osteoporosis	7	-0.002	0	1.0	1	0.5998000000000001
E11	F01	diabetes	vascular dementia	1	0.035	1	0.9582463465553236	1	0.5998000000000001
E11	E87.2	diabetes	metabolic acidosis	1	0.069	1	0.9147230320699709	1	0.5998000000000001
E11	E78	diabetes	metabolic disorders	8	0.241	1	0.7424013434089001	0	0.5998000000000001
E11	I50.9	diabetes	congestive heart failure	1	0.085	1	0.8745609633718013	1	0.5936666666666668
E11	E86	diabetes	metabolic disorders	8	0.075	1	0.8844181459566075	0	0.5935747747747748
E11	E55	diabetes	vitamin d deficiency	1	0.027	1	0.8948475289169295	1	0.5848181818181819
E11	E83	diabetes	metabolic disorders	8	0.045	1	0.8724256292906178	0	0.5844425120772947
E11	I51.7	diabetes	cardiomegaly	1	0.072	1	0.8276465441819773	1	0.5811473684210526
E11	E88	diabetes	metabolic disorders	8	0.018	1	0.8791208791208791	0	0.5810226250906454
E11	E85	diabetes	amyloidosis	8	0.008	1	0.8852459016393442	0	0.5800179104477612
E11	G93.9	diabetes	brain diseases	1	0.014	1	0.8674698795180723	1	0.5780000000000001
E11	K74.0	diabetes	hepatic fibrosis	1	0.02	1	0.8521739130434782	1	0.5758000000000001
E11	E73	diabetes	metabolic disorders	8	0.003	1	0.8529411764705882	0	0.5724
E11	H40	diabetes	glaucoma	1	0.038	1	0.7890855457227138	1	0.5666363636363636
E11	D73.5	diabetes	splenic infarction	2	0.014	1	0.7916666666666666	0	0.5618000000000001
E11	E72	diabetes	metabolic disorders	8	0.004	1	0.8	0	0.5616444444444444
E11	H21.1	diabetes	rubeosis iridis	1	0.009	1	0.7878787878787878	1	0.5605220338983051
E11	E75	diabetes	metabolic disorders	8	0.004	1	0.7857142857142857	0	0.5589295774647888
E11	E70	diabetes	metabolic disorders	8	0.005	1	0.7777777777777778	0	0.5579169811320754
E11	M19.90	diabetes	arthritis	1	0.019	1	0.7045454545454546	1	0.5462545454545455
E11	E80	diabetes	metabolic disorders	8	0.008	1	0.7083333333333334	0	0.544881414237936
E11	E79	diabetes	metabolic disorders	8	0.01	1	0.6666666666666666	0	0.5372575016523464
E11	C18.9	diabetes	colorectal cancer	1	0.015	1	0.6586345381526104	1	0.5355297297297298
E11	S12.1	diabetes	axis	1	0.005	1	0.6666666666666666	1	0.5353333333333333
E11	K92.9	diabetes	gastrointestinal disorders	1	0.005	1	0.6296296296296297	1	0.5301157894736843
E11	I20.0	diabetes	unstable angina	1	0.098	1	0.5356089338390223	1	0.5299714285714285
E11	A18	diabetes	tuberculosis	3	0.006	1	0.6206896551724138	0	0.528
E11	F44	diabetes	conversion disorder	1	0.01	1	0.5625	1	0.5180470588235295
E11	H33.2	diabetes	retinal detachment	1	0.007	1	0.532608695652174	1	0.51286875
E11	E74	diabetes	metabolic disorders	8	0.019	1	0.46938775510204084	0	0.5012000000000001
E11	N46	diabetes	male infertility	2	0.0	0	0.2	1	0.4708926829268293
E11	E76	diabetes	metabolic disorders	8	0.003	0	1.0	0	0.4012
E11	E71	diabetes	metabolic disorders	8	0.002	0	1.0	0	0.40080000000000005
E11	N18.6	diabetes	end-stage renal disease	50	NA	0	0	1	0.4
E11	R73.03	diabetes	glucose intolerance	11	NA	0	0	1	0.4
E11	I25.10	diabetes	coronary artery disease	5	NA	0	0	1	0.4
E11	K31.84	diabetes	gastroparesis	3	NA	0	0	1	0.4
E11	T78.40	diabetes	hypersensitivity	4	NA	0	0	1	0.4
E11	E88.81	diabetes	metabolic syndrome	4	NA	0	0	1	0.4
E11	C80.1	diabetes	cancer	6	NA	0	0	1	0.4
E11	F41.9	diabetes	anxiety disorder	1	0.036	1	0.8091666666666667	0	0.379372972972973
E11	I51.4	diabetes	myocarditis	1	0.001	0	0.7777777777777778	1	0.3628
E11	L25.9	diabetes	contact dermatitis	2	-0.001	0	0.7777777777777778	0	0.3621757575757576
E11	L65.9	diabetes	alopecia	1	0.002	0	0.75	1	0.3575643835616439
E11	E51	diabetes	thiamine deficiency	1	0.005	1	0.6842105263157895	0	0.3448444444444445
E11	E77	diabetes	metabolic disorders	8	-0.001	0	0.6666666666666666	0	0.337478391959799
E11	Q24.9	diabetes	congenital heart disease	1	0.001	0	0.5384615384615384	1	0.3208
E11	E53.0	diabetes	riboflavin deficiency	1	0.003	0	0.5	1	0.3121766423357665
E11	F52.9	diabetes	sexual dysfunction	2	-0.001	0	0.3333333333333333	0	0.29060297462817153
E11	O40	diabetes	polyhydramnios	3	-0.002	0	0.1111111111111111	0	0.28591428571428573
E11	E81	diabetes	metabolic disorders	8	NA	0	0	0	0.2
E11	E82	diabetes	metabolic disorders	8	NA	0	0	0	0.2
E11	A69.22	diabetes	polyneuropathy	4	NA	0	0	0	0.2
E11	H02.59	diabetes	sensory disorders	1	NA	0	0	1	0.2
E11	H35.81	diabetes	retinal edema	1	NA	0	0	1	0.2
E11	I67.5	diabetes	moyamoya disease	1	0.0	0	0	1	0.2
E11	O14	diabetes	pre-eclampsia	1	-0.001	0	0.0	1	0.2
E11	B45.0	diabetes	pulmonary cryptococcosis	1	0.0	0	0	0	0.0
E16.2	I46	hypoglycemia	cardiac arrest	2	0.025	1	0.8412698412698413	1	0.7732539682539683
E16.2	G62.9	hypoglycemia	neuropathy	1	0.059	1	0.5122950819672131	1	0.5176666666666667
E16.2	I21	hypoglycemia	myocardial infarction	1	0.034	1	0.46898263027295284	1	0.5024
E16.2	K46	hypoglycemia	hernia	1	0.012	1	0.6428571428571429	0	0.33532972972972974
E16.2	K42	hypoglycemia	hernia	1	0.008	1	0.4392523364485981	0	0.30060000000000003
E16.2	K45	hypoglycemia	hernia	1	0.01	1	0.375	0	0.2998
E16.2	K43	hypoglycemia	hernia	1	0.016	1	0.35294117647058826	0	0.299169696969697
E16.2	I25.6	hypoglycemia	silent myocardial ischemia	1	0.008	1	0.0	0	0.2812
E16.2	J81.0	hypoglycemia	acute pulmonary edema	1	NA	0	0	1	0.2
E16.2	I51.81	hypoglycemia	transient left ventricular apical ballooning syndrome	1	NA	0	0	1	0.2
E16.2	K41	hypoglycemia	hernia	1	0.0	0	0.8333333333333334	0	0.2
E16.2	K40	hypoglycemia	hernia	1	0.001	0	0.32894736842105265	0	0.15714285714285714
E16.2	G93.82	hypoglycemia	brain death	1	NA	0	0	0	0.0
I86.4	G93.2	gastric varices	benign intracranial hypertension	1	0.0	0	0	0	0.1
F50	E43	eating disorders	malnutrition	2	0.063	1	1.0	1	0.8126
F50	E46	eating disorders	malnutrition	2	0.043	1	0.7272727272727273	1	0.7540545454545455
F50	E40	eating disorders	malnutrition	2	NA	0	0	1	0.4
F50	E41	eating disorders	malnutrition	2	0.0	0	0	1	0.4
F50	E42	eating disorders	malnutrition	2	NA	0	0	1	0.4
F50	E44	eating disorders	malnutrition	2	0.0	0	0	1	0.4
F50	E45	eating disorders	malnutrition	2	0.0	0	0	1	0.4
F50	E50	eating disorders	vitamin a deficiency	1	0.0	0	0	1	0.2
F50	E88.9	eating disorders	metabolic disease	1	0.0	0	0	0	0.0
B20	H30.9	acquired immunodeficiency syndrome	chorioretinitis	3	0.06	1	1.0	1	0.812
B20	K56.1	acquired immunodeficiency syndrome	intussusception	2	0.0	0	0	1	0.4
B20	L89	acquired immunodeficiency syndrome	pressure sore	1	-0.001	0	1.0	1	0.4
B20	B34.9	acquired immunodeficiency syndrome	virus infection	1	0.015	1	0.8	0	0.3716285714285714
B20	B45.7	acquired immunodeficiency syndrome	disseminated cryptococcosis	1	NA	0	0	1	0.2
B20	J96.0	acquired immunodeficiency syndrome	acute respiratory failure	1	0.0	0	0	1	0.2
B20	E05.9	acquired immunodeficiency syndrome	hyperthyroidism	1	-0.001	0	0	1	0.2
H30.9	H54	chorioretinitis	blindness	1	0.029	1	0.8	1	0.5669692307692308
E55.0	M21.06	rickets	genu valgum	3	0.06	1	1.0	1	0.812
E55.0	I42.0	rickets	dilated cardiomyopathy	1	0.0	0	0	1	0.2
E55.0	Q75.0	rickets	craniosynostosis	3	0.0	0	0	0	0.2
E55.0	E83.51	rickets	hypocalcemia	1	NA	0	0	0	0.0
A17	G03	tuberculosis	meningitis	3	0.055	1	1.0	1	0.8109999999999999
A17	D86	tuberculosis	sarcoidosis	1	0.012	1	1.0	1	0.6026
A17	M54.1	tuberculosis	radiculopathy	2	0.009	1	0	1	0.6020000000000001
A17	D69.6	tuberculosis	thrombocytopenia	1	0.007	1	1.0	1	0.6014
A17	I10	tuberculosis	hypertension	1	0.005	1	0.5333333333333333	1	0.5128279569892473
A17	N32.89	tuberculosis	contracted bladder	4	NA	0	0	1	0.40040000000000003
A17	M19.90	tuberculosis	arthritis	6	0.0	0	0	1	0.4
A17	J86	tuberculosis	empyema	7	0.0	0	0	1	0.4
A17	K56.609	tuberculosis	intestinal obstruction	5	NA	0	0	1	0.4
A17	J96.0	tuberculosis	acute respiratory failure	9	0.0	0	0	1	0.4
A17	N08	tuberculosis	kidney disease	2	0.0	0	0	1	0.4
A17	J80	tuberculosis	adult respiratory distress syndrome	5	0.0	0	0	1	0.4
A17	J98.4	tuberculosis	lung disease	3	0.0	0	0	1	0.4
A17	I31.4	tuberculosis	cardiac tamponade	3	NA	0	0	1	0.4
