Cause	Outcome	Number of mentions	Pearson's correlation	Independence	Date	ChatGPT
I21	J81	3	0.04015573	1	0.8587257617728532	0
I21	Q210	7	0.007553254	1	0.8125	0
I21	Q233	9	0.002142231	0	0.7368421052631579	1
I21	F431	4	0.002903892	0	0.4141732283464567	1
I21	I5081	6	NA	NA	0.9180128539169706	1
I21	I502	1	NA	NA	0.9180128539169706	1
I21	I2720	1	NA	NA	0.8875739644970414	1
I21	I4901	5	NA	NA	0.8252536640360767	1
I21	J810	2	NA	NA	0.8587257617728532	0
I21	I4902	1	NA	NA	0.8252536640360767	0
I21	P916	1	NA	NA	NA	0
K85	K863	1	0.2330363	1	0.8990384615384616	1
K85	D735	3	0.04361008	1	0.9213483146067416	1
K85	E13	2	0.01943026	1	0.9285714285714286	1
K85	E10	2	0.02792472	1	0.812807881773399	1
K85	E11	2	0.04094935	1	0.6770310932798396	1
K85	N19	1	0.02323908	1	0.6842105263157895	1
K85	I21	1	0.01435866	1	0.4630541871921182	1
K85	J80	1	0.02711639	1	0.9459459459459459	0
K85	J960	1	0.01712461	1	0.8762886597938144	0
K85	I898	2	0.004091425	1	0.8076923076923077	0
K85	K315	1	0.03222143	1	0.711764705882353	0
K85	O200	1	-0.002543604	1	0.0	0
K85	I420	1	0.003131845	0	0.6730769230769231	0
K85	G932	1	-0.001179339	0	0.6666666666666666	0
K85	M793	1	-0.0006808358	0	0.5043177892918825	0
K85	D593	2	-0.000304469	0	0.3333333333333333	0
K85	E12	2	-0.0001993208	0	NA	1
K85	N1330	1	NA	NA	0.7380952380952381	1
K85	J9851	1	NA	NA	0.7661290322580645	0
K85	K56609	1	NA	NA	0.7444444444444445	0
K85	M3119	3	NA	NA	0.6666666666666666	0
K85	E08	2	NA	NA	NA	1
K85	E09	2	NA	NA	NA	1
K85	T79A0	2	NA	NA	NA	0
F101	K70	1	0.2446836	1	0.8495821727019499	1
F101	E44	2	0.008056019	1	1.0	1
F101	E46	2	0.04036423	1	0.9590163934426229	1
F101	E872	1	0.05142639	1	0.865999046256557	1
F101	D696	2	0.03810642	1	0.8089330024813896	1
F101	G629	1	0.0333618	1	0.8060046189376443	1
F101	E41	2	0.006461718	1	0.8	1
F101	K85	3	0.05640701	1	0.7125748502994012	1
F101	E43	2	0.005133906	0	1.0	1
F101	K721	1	0.01468789	1	0.9363295880149812	0
F101	K769	7	0.0345704	1	0.8459403192227619	0
F101	K831	1	0.01277825	1	0.822463768115942	0
F101	I515	1	0.01055432	1	0.8022199798183652	0
F101	N08	1	0.008270133	1	0.7971014492753623	0
F101	I443	1	0.008278323	1	0.7803660565723793	0
F101	I42	2	0.02611498	1	0.7224334600760456	0
F101	K859	11	0.02639018	1	0.7125748502994012	0
F101	K294	1	0.01063799	1	0.5806451612903226	0
F101	M810	1	-0.001246873	0	0.7127906976744186	0
F101	F529	1	-0.0002841643	0	0.4690265486725664	0
F101	H905	1	0.001178857	0	0.43573667711598746	0
F101	E45	2	-0.0001420817	0	NA	1
F101	K7460	17	NA	NA	0.8406040268456376	1
F101	K8681	1	NA	NA	0.8145539906103286	0
F101	E40	2	NA	NA	NA	1
F101	E42	2	NA	NA	NA	1
K70	K766	1	0.3584404	1	0.7271815446339017	1
K70	K721	1	0.0430607	1	0.952054794520548	1
K70	G939	1	0.01086166	1	0.9041916167664671	0
K70	C220	1	0.08920769	1	NA	1
K70	K7460	5	NA	NA	0.7421289355322339	1
I46	G939	5	0.00380466	0	0.9230769230769231	1
I46	P916	3	NA	NA	NA	0
A15	B44	5	0.04562476	1	1.0	1
A15	I81	1	0.01103225	1	1.0	1
A15	J960	16	0.007178749	1	0.975609756097561	1
A15	D649	2	0.003755447	1	0.9653846153846154	1
A15	J984	2	0.02303904	1	0.9385474860335196	1
A15	J43	1	0.009445902	1	0.9428571428571428	1
A15	D733	4	-6.064446e-05	0	1.0	1
A15	E272	1	-0.0001116456	0	1.0	1
A15	D721	1	-0.0001333367	0	1.0	1
A15	E232	1	-0.0001499333	0	1.0	1
A15	J80	6	-0.0002042043	0	1.0	1
A15	I10	1	0.003472886	1	0.9769094138543517	0
A15	G932	2	-0.0001464853	0	0.9705882352941176	1
A15	K311	1	-0.0002096402	0	0.9574468085106383	1
A15	H332	1	0.009295361	1	0.9347826086956522	0
A15	M779	1	-0.0002972406	0	0.9333333333333333	1
A15	G510	3	-0.0004244597	0	0.9230769230769231	1
A15	J47	2	0.01833593	1	0.890625	0
A15	I871	2	-0.0001891272	0	0.8947368421052632	1
A15	I72	7	-0.000361595	0	0.8823529411764706	1
A15	J86	11	0.01566289	1	0.8333333333333334	0
A15	J948	2	0.01069952	1	0.7777777777777778	0
A15	G03	2	-0.0001552912	0	0.7833333333333333	1
A15	L04	1	-0.0001385982	0	0.7272727272727273	1
A15	N16	1	-7.427477e-05	0	0.5	1
A15	N911	2	-5.536037e-05	0	1.0	0
A15	E853	3	-7.958704e-05	0	1.0	0
A15	M023	1	-8.456634e-05	0	1.0	0
A15	H309	4	-8.456634e-05	0	1.0	0
A15	K739	1	-0.0001378588	0	1.0	0
A15	Q430	1	-0.000140793	0	1.0	0
A15	G825	1	-0.000141517	0	1.0	0
A15	E85	9	-0.0001853045	0	1.0	0
A15	G822	5	-0.000207187	0	1.0	0
A15	E271	15	-0.0002086624	0	1.0	0
A15	E230	1	-0.0002593651	0	1.0	0
A15	I719	1	-0.0002698065	0	1.0	0
A15	E162	1	-0.0005032531	0	1.0	0
A15	I42	1	-0.0005783709	0	1.0	0
A15	M431	1	-0.0006073792	0	1.0	0
A15	M706	1	-0.000430221	0	0.989010989010989	0
A15	K766	1	0.005677223	0	0.9803921568627451	0
A15	L603	1	-9.589035e-05	0	0.9846153846153847	0
A15	D696	2	-0.0005833336	0	0.9772727272727273	0
A15	K833	1	-6.064446e-05	0	0.975609756097561	0
A15	G560	3	3.041552e-05	0	0.967741935483871	0
A15	J386	1	-9.589035e-05	0	0.9655172413793104	0
A15	N12	5	-0.0004908516	0	0.9655172413793104	0
A15	M793	2	-8.456634e-05	0	0.9632224168126094	0
A15	M1990	4	-0.0004064383	0	0.9611801242236024	0
A15	K315	3	-0.0001996469	0	0.9574468085106383	0
A15	D86	1	-0.0003644177	0	0.9523809523809523	0
A15	M541	2	-0.0004830471	0	0.948076923076923	0
A15	I898	1	-0.0001629985	0	0.9444444444444444	0
A15	J430	2	-2.85876e-05	0	0.9428571428571428	0
A15	J438	1	-7.002668e-05	0	0.9428571428571428	0
A15	K130	1	-0.0004092042	0	0.9333333333333333	0
A15	I313	3	-0.0004335467	0	0.9333333333333333	0
A15	N08	2	-0.0002975848	0	0.9	0
A15	N19	3	-0.0005896538	0	0.8863636363636364	0
A15	H669	1	-0.0003396825	0	0.8727272727272727	0
A15	H209	5	-0.000243076	0	0.8518518518518519	0
A15	K501	1	-0.0003486119	0	0.8518518518518519	0
A15	H16	1	-0.000258179	0	0.8461538461538461	0
A15	J931	2	-0.0002115824	0	0.8163265306122449	0
A15	H46	1	-0.0001685482	0	0.8	0
A15	J940	1	-2.85876e-05	0	0.7777777777777778	0
A15	A6922	1	NA	NA	1.0	1
A15	H3481	1	NA	NA	1.0	1
A15	J0510	1	NA	NA	1.0	1
A15	D761	4	-2.475756e-05	0	NA	0
A15	T790	1	-2.475756e-05	0	NA	0
A15	S128	1	-3.781797e-05	0	NA	0
A15	I5181	1	NA	NA	0.9838709677419355	1
A15	H3571	1	NA	NA	0.9701492537313433	1
A15	E8352	5	NA	NA	0.9466666666666667	1
A15	I2781	3	NA	NA	1.0	0
A15	H0520	1	NA	NA	1.0	0
A15	D7581	1	NA	NA	1.0	0
A15	D6181	1	NA	NA	1.0	0
A15	I2720	1	NA	NA	1.0	0
A15	L03213	1	NA	NA	0.975609756097561	0
A15	K56609	5	NA	NA	0.9746835443037974	0
A15	N186	1	NA	NA	0.967741935483871	0
A15	N3289	3	NA	NA	0.9644970414201184	0
A15	J9851	2	NA	NA	0.9385474860335196	0
A15	I314	3	NA	NA	0.9333333333333333	0
A15	C465	1	NA	NA	NA	1
B44	J47	1	0.1397791	1	0.5472636815920398	1
B44	D649	1	0.0192333	1	0.648936170212766	0
B44	I26	2	0.01197642	1	0.5454545454545454	0
B44	J32	1	0.01254183	1	0.4375	0
B44	M301	1	0.01743697	1	0.3333333333333333	0
B44	G822	1	-0.0004889692	0	1.0	0
B44	M940	1	0.004247111	0	0.3333333333333333	0
B44	I72	1	0.001905595	0	0.0	0
B44	E060	1	-5.842878e-05	0	0.0	0
B44	H309	1	-0.0001995798	0	0.0	0
B44	G03	1	-0.0003664932	0	0.0	0
E85	N08	4	0.06615107	1	0.9767441860465116	1
E85	D730	1	0.006462045	1	0.75	1
E85	I420	1	0.00450261	1	0.5862068965517241	1
E85	N19	25	0.01752409	1	0.5172413793103449	1
E85	N04	18	0.05732282	1	0.8709677419354839	0
E85	G629	5	0.02125696	1	0.75	0
E85	I425	1	0.04870888	1	0.5862068965517241	0
E85	I42	5	0.01408277	1	0.5862068965517241	0
E85	I519	2	0.001725518	0	0.5977011494252874	1
E85	N289	2	0.01154155	1	0.5428571428571428	0
E85	I495	1	0.008823095	1	0.5151515151515151	0
E85	G830	1	-5.276288e-05	0	0.3333333333333333	1
E85	I10	1	0.01604556	1	0.3024054982817869	0
E85	M350	1	0.008294785	1	0.2727272727272727	0
E85	G560	1	0.01071313	1	0.171875	0
E85	H024	1	0.002585421	0	0.1	1
E85	N251	1	-0.0001256028	0	1.0	0
E85	K831	4	0.00374512	0	0.75	0
E85	D735	1	-0.0002938023	0	0.75	0
E85	D692	1	-0.0001696145	0	0.7058823529411765	0
E85	K769	2	0.004296453	0	0.65625	0
E85	E049	2	-0.0007694162	0	0.4444444444444444	0
E85	H359	1	-0.0003592069	0	0.36	0
E85	K81	1	-0.0003628704	0	0.14285714285714285	0
E85	R80	3	0.03169948	1	NA	0
E85	Q313	2	-8.616192e-05	0	NA	0
E85	G40909	2	NA	NA	0.7272727272727273	1
E85	I5084	1	NA	NA	0.6991150442477876	1
E85	N186	4	NA	NA	0.6587301587301587	0
E85	E2740	1	NA	NA	0.5	0
E85	K3184	1	NA	NA	0.48	0
E85	Q382	4	NA	NA	0.0	0
E85	A6922	2	NA	NA	NA	0
N08	I15	2	0.07350841	1	0.7368421052631579	1
N08	N179	1	0.118525	1	0.6786885245901639	1
N08	N18	1	0.1614977	1	0.530690537084399	1
N08	N19	20	0.08457645	1	0.4730290456431535	1
N08	I10	5	0.04731154	1	0.3336766220391349	1
N08	N04	13	0.07454501	1	0.6666666666666666	0
N08	N189	5	0.1830032	1	0.530690537084399	0
N08	D649	3	0.06619769	1	0.610204081632653	0
N08	N289	1	0.04286285	1	0.5024875621890548	0
N08	R80	1	0.07952246	1	NA	0
N08	N186	12	NA	NA	0.530690537084399	1
N08	H3503	1	NA	NA	0.452914798206278	1
B59	B20	1	0.04215155	1	1.0	1
B59	J80	5	0.01646105	1	1.0	0
B59	J960	21	0.02135871	1	0.9436619718309859	0
B59	J931	1	-0.0002910345	0	0.7272727272727273	0
B59	J8489	1	NA	NA	0.782608695652174	0
B20	B349	1	0.01517212	1	0.8333333333333334	1
B20	H309	3	0.05968749	1	1.0	0
B20	J960	1	-0.0002920027	0	0.5	1
B20	L89	1	-0.0005138374	0	1.0	0
B20	E059	1	-0.000558184	0	1.0	0
B20	K561	2	-0.0001788747	0	NA	1
B20	B457	1	NA	NA	1.0	0
I10	E11	1	0.2902567	1	0.7495893872394188	1
I10	I517	26	0.1138693	1	0.869655286708651	1
I10	I679	18	0.06955046	1	0.8860180126974753	1
I10	I70	5	0.08136546	1	0.8624775583482944	1
I10	I11	2	0.0315653	1	0.9	1
I10	I519	3	0.05123394	1	0.869655286708651	1
I10	I71	1	0.08169117	1	0.8384126984126984	1
I10	N189	13	0.1298963	1	0.7654848355403674	1
I10	I514	2	0.01087338	1	0.869655286708651	1
I10	I719	1	0.0340598	1	0.8384126984126984	1
I10	I12	4	0.09974635	1	0.7572254335260116	1
I10	E161	3	0.007311891	1	0.8268370607028754	1
I10	E213	1	0.02972681	1	0.7712374581939799	1
I10	I420	3	0.04320345	1	0.7235807860262009	1
I10	N19	29	0.06795477	1	0.6831384383251603	1
I10	G939	2	0.01238178	1	0.7271996785857774	1
I10	M311	2	0.0045554	1	0.6524559777571826	1
I10	I509	1	0.09506215	1	0.8520537428023033	0
I10	J81	1	0.03689175	1	0.832026875699888	0
I10	D619	1	0.02317444	1	0.8375634517766497	0
I10	G911	1	0.008830494	1	0.8249211356466877	0
I10	G629	1	0.04993152	1	0.7579924372636645	0
I10	K921	1	0.05008353	1	0.7450141230848241	0
I10	I42	1	0.05879468	1	0.7235807860262009	0
I10	N289	5	0.03923418	1	0.7002240992932253	0
I10	I21	2	0.1630232	1	0.5398758066479971	0
I10	M1990	1	0.03888533	1	0.4385753239545378	0
I10	F529	1	0.002037199	0	0.4692849949647533	0
I10	O15	1	-0.0007218648	0	0.075	0
I10	N46	1	-0.0009124645	0	0.049079754601226995	0
I10	R80	2	0.02873467	1	NA	0
I10	T783	1	0.02246069	1	NA	0
I10	I6782	1	NA	NA	0.8860180126974753	1
I10	I2720	1	NA	NA	0.8795731707317073	1
I10	I5081	1	NA	NA	0.8520537428023033	1
I10	I5022	2	NA	NA	0.8520537428023033	1
I10	I5030	2	NA	NA	0.8520537428023033	1
I10	N186	35	NA	NA	0.7654848355403674	1
I10	I2510	1	NA	NA	0.741944189561181	1
I10	J9811	1	NA	NA	0.7246708643388666	1
I10	I6783	5	NA	NA	0.8860180126974753	0
I10	H3502	1	NA	NA	0.6951878075123005	0
I10	A240	1	NA	NA	NA	0
E11	D649	2	0.1006976	1	0.7812548653277285	1
E11	I519	3	0.0335569	1	0.8142892096892587	1
E11	I42	14	0.03457668	1	0.6456808199121523	1
E11	I200	1	0.09766635	1	0.43213206732844195	1
E11	N179	1	0.1394402	1	0.9205087440381559	0
E11	E162	2	0.1513872	1	0.8651685393258427	0
E11	F01	1	0.03536625	1	0.9345794392523364	0
E11	G30	2	0.02250302	1	0.9330922242314648	0
E11	M146	3	0.05409742	1	0.8823529411764706	0
E11	E55	1	0.02681857	1	0.8742194469223907	0
E11	I679	4	0.0531099	1	0.8397910317805833	0
E11	N189	14	0.1250935	1	0.7615534521158129	0
E11	I70	19	0.06644677	1	0.8188908145580589	0
E11	E161	23	0.01293448	1	0.8651685393258427	0
E11	E530	1	0.002664777	0	0.8741905642923219	1
E11	E169	1	0.01019588	1	0.8651685393258427	0
E11	I509	1	0.08518716	1	0.7855055523085914	0
E11	I675	1	-0.0003656412	0	0.8397910317805833	1
E11	G629	62	0.06538026	1	0.7557251908396947	0
E11	I515	2	0.005958736	1	0.8142892096892587	0
E11	K740	1	0.02012078	1	0.7851851851851852	0
E11	E889	3	0.01240928	1	0.7871720116618076	0
E11	K769	2	0.03629119	1	0.7423097679438748	0
E11	H211	1	0.00932742	1	0.7692307692307693	0
E11	H54	46	0.03311546	1	0.7405602923264312	0
E11	H26	7	0.079576	1	0.6876626756897449	0
E11	N19	47	0.05731985	1	0.6982520699172033	0
E11	E72	5	0.004197755	1	0.7272727272727273	0
E11	N289	4	0.02818664	1	0.6894477856752323	0
E11	G939	1	0.01413745	1	0.7020725388601037	0
E11	D735	2	0.01408311	1	0.6931407942238267	0
E11	H492	2	0.006220435	1	0.6982248520710059	0
E11	H359	3	0.01470279	1	0.6820109024833434	0
E11	K929	1	0.005282379	1	0.6900633085604184	0
E11	I729	10	0.005205199	1	0.685823754789272	0
E11	E51	1	0.004635916	1	0.6818181818181818	0
E11	E73	5	0.003440101	1	0.6739130434782609	0
E11	I256	1	0.004615573	1	0.64616503677362	0
E11	H40	1	0.03751346	1	0.5387387387387388	0
E11	E70	5	0.005327839	1	0.5384615384615384	0
E11	H44	4	0.008475912	1	0.5342960288808665	0
E11	M899	2	0.004545943	1	0.5027829313543599	0
E11	H332	1	0.007261261	1	0.49869451697127937	0
E11	H905	1	0.01468401	1	0.4744094488188976	0
E11	M1990	1	0.01856083	1	0.4152874936017744	0
E11	M674	1	0.007900802	1	0.4211469534050179	0
E11	F44	1	0.010273	1	0.4166666666666667	0
E11	B450	1	-0.0003656412	0	1.0	0
E11	I514	1	0.0006173675	0	0.8142892096892587	0
E11	M810	6	-0.001660574	0	0.6023830538393645	0
E11	F529	2	-0.000731285	0	0.5098591549295775	0
E11	E77	5	-0.001156271	0	0.5	0
E11	L659	1	0.002127597	0	0.4117647058823529	0
E11	O40	3	-0.002046461	0	0.16666666666666666	0
E11	N46	2	0.0004078518	0	0.07692307692307693	0
E11	R73	2	0.0650914	1	NA	0
E11	R730	1	0.02999627	1	NA	0
E11	R80	2	0.02461299	1	NA	0
E11	N186	50	NA	NA	0.7615534521158129	0
E11	K3184	3	NA	NA	0.7303543913713405	0
E11	D72810	1	NA	NA	0.6865079365079365	0
E11	H3581	1	NA	NA	0.6820109024833434	0
E11	I2510	5	NA	NA	0.64616503677362	0
E11	A6922	5	NA	NA	0.5294117647058824	0
E11	H0259	1	NA	NA	0.5233968804159446	0
E11	R7303	11	NA	NA	NA	0
B57	I420	2	0.03478181	1	1.0	1
B57	I42	3	0.02471381	1	1.0	0
B57	I509	2	-0.0001088473	0	1.0	0
B57	I519	2	-6.925942e-05	0	NA	1
B57	I514	2	-2.290534e-05	0	NA	0
B57	K220	3	-3.298831e-05	0	NA	0
B57	K5939	3	NA	NA	NA	0
I420	I501	3	0.1986961	1	0.6746680286006129	1
I420	I509	49	0.157923	1	0.6746680286006129	1
I420	I517	2	0.1002517	1	0.7020570670205707	1
I420	Q233	7	0.009826246	1	0.7931034482758621	0
I420	J81	1	0.04602962	1	0.638095238095238	0
I420	I898	1	-0.0007703929	0	0.6136363636363636	1
I420	G450	1	-0.0003700413	0	0.4233128834355828	0
I420	I5084	18	NA	NA	0.6746680286006129	1
I420	I5081	1	NA	NA	0.6746680286006129	1
I63	I679	11	0.1436923	1	0.8885748889786032	1
I63	G24	2	0.00479686	1	0.4090909090909091	1
I63	J690	1	0.07965741	1	0.968013468013468	0
I63	F01	1	0.05570146	1	0.863905325443787	0
I63	H54	1	0.03748171	1	0.7357954545454546	0
I63	J81	1	0.02801571	1	0.7086614173228346	0
I63	M2137	1	0.009708328	1	0.5459770114942529	0
I63	H024	1	0.008136598	1	0.40153452685422	0
I63	R413	1	0.01559899	1	NA	1
I63	G255	1	-0.0006571459	0	0.5866666666666667	0
I63	R488	2	-0.000346341	0	NA	0
I63	G40909	6	NA	NA	0.62402496099844	1
I63	H4761	1	NA	NA	0.5357142857142857	1
I63	N3281	1	NA	NA	0.3850746268656716	1
I63	H9325	1	NA	NA	0.2912621359223301	1
I63	H550	1	NA	NA	0.855072463768116	0
I63	H5346	5	NA	NA	0.7244318181818182	0
I63	R414	1	NA	NA	NA	0
I679	H534	4	0.02387918	1	0.5660893345487694	1
I679	G80	4	0.01152611	1	0.38095238095238093	1
I679	G463	1	0.04456034	1	0.8582677165354331	0
I679	G21	1	0.009352655	1	0.8235294117647058	0
I679	H54	3	0.02761252	1	0.5943877551020408	0
I679	G510	2	0.0139688	1	0.5445544554455446	0
I679	G24	5	0.01044357	1	0.5	0
I679	F411	1	0.004771855	1	0.4842186297151655	0
I679	M2137	5	0.009508664	1	0.4553191489361702	0
I679	G801	1	0.006050941	1	0.38095238095238093	0
I679	G478	1	0.001688515	0	0.36470588235294116	1
I679	F31	1	0.01306733	1	0.3282442748091603	0
I679	F809	6	-0.0001224284	0	0.7088607594936709	0
I679	F09	6	-0.0002998907	0	0.19047619047619047	0
I679	R413	3	0.01527482	1	NA	0
I679	G9382	1	NA	NA	0.7320819112627986	1
I679	I5181	1	NA	NA	0.6466108149276466	1
I679	H5346	3	NA	NA	0.5660893345487694	1
I679	G40909	6	NA	NA	0.5076741440377804	0
I679	H4761	2	NA	NA	0.4533333333333333	0
I679	R414	2	NA	NA	NA	1
I679	R483	1	NA	NA	NA	0
J18	J960	1	0.1177256	1	0.9072639732049403	1
J960	I46	2	0.04130054	1	0.8981900452488688	1
J960	G939	1	0.004989899	1	0.6666666666666666	1
I252	I46	2	0.09542857	1	0.9259259259259259	1
E71	N08	2	0.01950946	1	1.0	1
E71	H359	1	-6.78708e-05	0	1.0	0
E71	K769	2	-0.0001711155	0	1.0	0
E71	I519	1	-0.0001696512	0	NA	1
E71	K831	1	-0.0001878946	0	NA	0
E71	G629	2	-0.0002187109	0	NA	0
E71	I42	1	-0.0002328978	0	NA	0
E71	G40909	2	NA	NA	NA	1
E71	E7220	2	NA	NA	NA	0
K001	K090	3	0.01815761	1	1.0	1
K090	K0402	1	NA	NA	0.6444444444444445	1
M329	I061	1	0.01347263	1	1.0	1
M329	I871	1	0.007110707	1	1.0	1
M329	G629	1	0.009034668	1	0.7714285714285715	1
M329	N19	8	0.01052508	1	0.7567567567567568	1
M329	J80	1	0.006492592	1	0.75	1
M329	I10	5	0.01508322	1	0.6989690721649484	1
M329	D696	3	0.01444671	1	0.6935483870967742	1
M329	N08	10	0.05795496	1	0.9850746268656716	0
M329	D58	1	0.01782879	1	1.0	0
M329	M879	1	0.006613911	1	0.9230769230769231	0
M329	I679	1	0.002473379	0	0.8703703703703703	1
M329	N189	1	0.01882255	1	0.8431372549019608	0
M329	I730	1	0.08051732	1	0.7260869565217392	0
M329	D649	3	0.02216719	1	0.7804878048780488	0
M329	G255	1	-0.0001954488	0	0.7857142857142857	1
M329	D57	1	0.009777931	1	0.7272727272727273	0
M329	D59	1	0.01773881	1	0.6666666666666666	0
M329	G932	1	0.00451088	0	0.6764705882352942	1
M329	I313	3	0.01884501	1	0.65625	0
M329	H532	1	0.003677397	0	0.6486486486486487	1
M329	N04	2	0.01669615	1	0.5555555555555556	0
M329	N01	1	0.01599923	1	0.0	0
M329	D56	1	0.005455191	0	1.0	0
M329	E46	1	0.002633548	0	1.0	0
M329	I514	1	-0.0004490533	0	0.890625	0
M329	L659	1	0.004459626	0	0.8	0
M329	H163	1	-0.0001784189	0	0.8	0
M329	H40	2	0.0008917212	0	0.7727272727272727	0
M329	K559	1	0.001802724	0	0.7619047619047619	0
M329	K859	3	0.0009458769	0	0.7222222222222222	0
M329	D692	1	-0.0002564981	0	0.6935483870967742	0
M329	G825	1	-0.0004560901	0	0.0	0
M329	E45	1	-4.60668e-05	0	NA	0
M329	D761	1	-7.979023e-05	0	NA	0
M329	D55	1	-7.979023e-05	0	NA	0
M329	E44	1	-9.213393e-05	0	NA	0
M329	E41	1	-0.0001128408	0	NA	0
M329	E43	1	-0.0001382017	0	NA	0
M329	N186	9	NA	NA	0.8431372549019608	1
M329	M129	1	NA	NA	0.8181818181818182	1
M329	J0510	1	NA	NA	1.0	0
M329	I2720	3	NA	NA	0.9285714285714286	0
M329	M3119	1	NA	NA	0.8571428571428571	0
M329	H0520	1	NA	NA	0.75	0
M329	H0511	1	NA	NA	0.75	0
M329	D72819	2	NA	NA	0.7333333333333333	0
M329	D6861	9	NA	NA	0.7238095238095238	0
M329	D6804	1	NA	NA	0.7238095238095238	0
M329	I314	4	NA	NA	0.65625	0
M329	E40	1	NA	NA	NA	0
M329	E42	1	NA	NA	NA	0
I061	Q233	4	0.07712357	1	0.7142857142857143	0
I061	I509	6	0.0053915	0	0.7391304347826086	1
I061	I209	1	0.006766715	1	0.5952380952380952	0
I061	I20	1	0.00615601	1	0.5952380952380952	0
I061	Q204	1	NA	NA	1.0	0
I517	J81	1	0.05722963	1	0.6897435897435897	0
I81	K766	23	0.1705996	1	0.6108108108108108	1
I81	I898	1	-0.0003920848	0	0.5714285714285714	0
I81	G834	1	-0.0005361289	0	NA	0
I81	I8501	2	NA	NA	0.48717948717948717	1
I81	I8390	1	NA	NA	0.37037037037037035	1
I81	P9182	1	NA	NA	NA	0
B50	J80	1	0.01021492	1	1.0	1
B50	O410	1	0.01206455	1	1.0	0
B50	B54	1	0.1445658	1	0.7948717948717948	0
B50	D649	3	0.001808268	0	1.0	0
B50	J960	1	-0.0003462779	0	1.0	0
B50	N289	2	-0.0003959562	0	1.0	0
B50	N19	4	-0.0006502893	0	1.0	0
B50	D761	3	-2.730344e-05	0	NA	0
